state,year,quarter,district,registered_users,app_opens
Andhra Pradesh,2024,2,West Godavari,2409237,45912661
Andhra Pradesh,2024,2,Chittoor,3335024,134049145
Andhra Pradesh,2024,3,East Godavari,1167720,59935362
Andhra Pradesh,2024,3,Srikakulam,971036,17599044
Andhra Pradesh,2024,3,Visakhapatnam,2487971,32301176
Andhra Pradesh,2024,3,Sri Potti Sriramulu Nellore,1446214,86081128
Andhra Pradesh,2024,3,Kurnool,1209238,116758872
Andhra Pradesh,2024,3,Guntur,1695537,23423512
Andhra Pradesh,2024,3,Krishna,800410,23684301
Andhra Pradesh,2024,3,Annamayya,920716,87262138
Andhra Pradesh,2024,3,Ananthapuramu,1320379,174845086
Andhra Pradesh,2024,3,Vizianagaram,897899,32261276
Andhra Pradesh,2024,3,Tirupati,1870882,40985457
Andhra Pradesh,2024,3,Alluri Sitharama Raju,292488,178406258
Andhra Pradesh,2024,3,Nandyal,900737,72969773
Andhra Pradesh,2024,3,Sri Sathyasai,883584,98352753
Andhra Pradesh,2024,3,Palnadu,963840,76909163
Andhra Pradesh,2024,3,Prakasam,1166571,98216415
Andhra Pradesh,2024,3,Parvathipuram Manyam,301205,30111342
Andhra Pradesh,2024,3,Dr Br Ambedkar Konaseema,788204,48563272
Andhra Pradesh,2024,3,Bapatla,703301,39373168
Andhra Pradesh,2024,3,Ntr,1953695,47433380
Andhra Pradesh,2024,3,Kakinada,1293864,26508076
Andhra Pradesh,2024,3,Anakapalli,860834,29977574
Andhra Pradesh,2024,3,Ysr,1209820,71588398
Andhra Pradesh,2024,3,West Godavari,1017107,18906686
Andhra Pradesh,2024,3,Eluru,1066558,69927623
Andhra Pradesh,2024,3,Chittoor,955493,58045203
Andhra Pradesh,2024,4,East Godavari,1202680,70992699
Andhra Pradesh,2024,4,Srikakulam,1000848,50503455
Andhra Pradesh,2024,4,Visakhapatnam,2566650,135700425
Andhra Pradesh,2024,4,Sri Potti Sriramulu Nellore,1485904,95296811
Andhra Pradesh,2024,4,Kurnool,1243710,69757232
Andhra Pradesh,2024,4,Guntur,1749346,93254969
Andhra Pradesh,2024,4,Krishna,821763,43757281
Andhra Pradesh,2024,4,Annamayya,945246,67118152
Andhra Pradesh,2024,4,Ananthapuramu,1358486,105608573
Andhra Pradesh,2024,4,Vizianagaram,922107,53108897
Andhra Pradesh,2024,4,Tirupati,1927263,120835456
Andhra Pradesh,2024,4,Alluri Sitharama Raju,302981,32628930
Andhra Pradesh,2024,4,Nandyal,924312,52595448
Andhra Pradesh,2024,4,Sri Sathyasai,905055,105894571
Andhra Pradesh,2024,4,Palnadu,988882,59206517
